device_aid,coffee_visit_count,avg_visits_per_day
0000424a-c840-410c-bff2-96e91040f6d3,3,0.1
00018ca1-a046-43a5-997e-f1e5b3ed6b65,20,0.6666666666666666
0001cc01-6544-4812-95ca-475d4d1d0050,43,1.4333333333333333
000443d9-7f05-4d2d-8c82-e68021387533,29,0.9666666666666667
00044db0-1476-41d7-abd6-2a9b862ad316,37,1.2333333333333334
00055b78-479f-408f-8726-349067f0e609,14,0.4666666666666667
00063959-bc75-64b2-2783-6b6d1776515b,3,0.1
0006860a-77d4-45b7-85aa-79b0a2ac569e,2,0.06666666666666667
0006f9b0-dd8f-4ff8-9f52-d6989e162e77,20,0.6666666666666666
000867a9-d7ed-4b30-8176-bc1bb9ebbe25,19,0.6333333333333333
000933ad-4cf0-409d-ad21-db6b8a6e14fa,3,0.1
00099886-95d1-4300-b5c1-c952c132f5c8,2,0.06666666666666667
0009cc31-e148-46e4-a283-7eec1bfcdf59,18,0.6
0009dd3f-9390-6257-1fd4-ee44baeca845,2,0.06666666666666667
0009e0ac-7f80-4361-a9a8-0532864dda91,1,0.03333333333333333
000a0d98-dc4f-4109-83c5-32a0070a051f,9,0.3
000a575e-b940-48c1-9c1e-efa33033e009,1,0.03333333333333333
000b143c-6977-4eb6-ac3e-f8dcc594db96,45,1.5
000be5e2-911c-4292-a765-aa286e3f0ebf,9,0.3
000c76c7-7fb6-473f-9525-165e6f291f61,1,0.03333333333333333
000e064e-fd81-4b4d-be38-5b2351e1dc3c,2,0.06666666666666667
000ec2c0-8388-4efa-ae84-2436d14dfaa8,1,0.03333333333333333
000efdd9-48b5-4002-9c6b-d25ddc455241,1,0.03333333333333333
000f1688-0fbf-4fc6-b663-d003e3cd43ff,8,0.26666666666666666
00131d51-7c29-4093-aa44-810dd797f79f,78,2.6
00133101-5e69-4f7a-840d-df021cde083c,2,0.06666666666666667
00135375-d3ca-4e72-9cd3-181306a49216,26,0.8666666666666667
0013c832-1abd-65eb-26a3-1e84e33f11f7,5,0.16666666666666666
0013e7cd-ece2-4a7d-9690-b29abfa8bf69,3,0.1
0014c885-d721-47f7-9b51-db430503c97d,3,0.1
0016fc9a-d93d-456b-b4ee-2994faa24996,5,0.16666666666666666
00179829-2eed-4835-acac-3919d258a4a6,1,0.03333333333333333
001b26c7-d8c2-41be-8c71-aa2e949c2003,1,0.03333333333333333
001b48cb-87e7-4f87-9dc7-403211947d9b,3,0.1
001b757e-2d2e-4eca-b243-b4b5982f072d,55,1.8333333333333333
001c160b-f82f-408d-b082-a78e0f9475d0,3,0.1
001c7aef-42b8-4b28-969d-437b0f21d057,1,0.03333333333333333
001cd150-f6ba-441b-82f2-a5109b0cb6eb,7,0.23333333333333334
001ce09b-0f34-4510-8b5f-8d8c10cd7c3f,22,0.7333333333333333
001d61bb-29dc-49c7-886a-e2294db5ce02,16,0.5333333333333333
001eb9a7-8f02-4158-9c19-93f06e83e850,1,0.03333333333333333
0020b518-1569-4fb1-8914-bf9aba2f2108,1,0.03333333333333333
0020da03-b2f0-463d-a00d-8bf52a8383fc,1,0.03333333333333333
